Idade,Rotatividade,ViagensDeNegocio,Departamento,DistanciaDeCasa,Educacao,CampoDeEducacao,ContagemDeEmpregados,IDDoEmpregado,Genero,NivelDoCargo,Funcao,EstadoCivil,RendaMensal,NumeroDeEmpresas,MaiorDe18,AumentoPercentualSalario,HorasPadrao,NivelDeOpcaoDeCompraDeAcoes,TotalDeAnosTrabalhados,TreinamentosNoUltimoAno,AnosNaEmpresa,AnosDesdeUltimaPromocao,AnosComAtualGestor
55,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,4,Outro,1,26,Feminino,1,Cientista de Pesquisa,Casado(a),13598.0,3.0,Y,11,8,0,12.0,2,10,0,8
26,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,9,3,Ciências da Vida,1,27,Feminino,1,Gerente,Casado(a),32582.0,1.0,Y,22,8,0,5.0,3,5,3,3
37,Nao,Viagens_Raras,Vendas,5,1,Marketing,1,28,Masculino,1,Cientista de Pesquisa,Solteiro(a),5410.0,1.0,Y,11,8,0,17.0,2,17,5,7
44,Sim,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,1,2,Médica,1,29,Masculino,2,Cientista de Pesquisa,Divorciado(a),20666.0,3.0,Y,14,8,1,19.0,2,1,0,0
38,Nao,Viagens_Raras,Vendas,2,3,Marketing,1,30,Feminino,1,Gerente,Divorciado(a),8896.0,9.0,Y,12,8,0,10.0,3,2,1,2
26,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,4,3,Médica,1,31,Masculino,3,Cientista de Pesquisa,Divorciado(a),13708.0,2.0,Y,11,8,0,5.0,5,3,0,2
28,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,7,3,Outro,1,32,Masculino,1,Recursos Humanos,Solteiro(a),19274.0,1.0,Y,13,8,0,5.0,6,5,0,2
49,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,1,1,Médica,1,33,Feminino,2,Cientista de Pesquisa,Solteiro(a),7182.0,9.0,Y,13,8,0,22.0,2,3,1,2
36,Nao,Viagens_Raras,Vendas,5,3,Grau Técnico,1,34,Masculino,3,Executivo de Vendas,Solteiro(a),10810.0,4.0,Y,14,8,0,10.0,2,8,7,7
31,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,9,4,Médica,1,35,Masculino,1,Executivo de Vendas,Divorciado(a),9368.0,1.0,Y,16,8,1,2.0,4,2,2,2
26,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,8,3,Médica,1,36,Masculino,2,Gerente,Solteiro(a),31574.0,1.0,Y,12,8,2,8.0,5,8,7,4
37,Nao,Viagens_Frequentes,Vendas,9,1,Marketing,1,37,Masculino,1,Técnico de Laboratório,Casado(a),3028.0,1.0,Y,14,8,0,4.0,3,4,1,2
42,Nao,Viagens_Frequentes,Vendas,2,2,Marketing,1,38,Masculino,3,Diretor de Pesquisa,Casado(a),5912.0,5.0,Y,13,8,0,23.0,2,20,4,8
18,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,4,Ciências da Vida,1,39,Masculino,1,Executivo de Vendas,Solteiro(a),4670.0,1.0,Y,14,8,2,0.0,3,0,0,0
35,Nao,Viagens_Raras,Vendas,20,2,Ciências da Vida,1,40,Masculino,1,Técnico de Laboratório,Casado(a),10308.0,0.0,Y,19,8,0,12.0,2,11,6,9
36,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,8,3,Outro,1,41,Feminino,3,Executivo de Vendas,Casado(a),13924.0,4.0,Y,12,8,2,4.0,2,1,0,0
51,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,2,3,Ciências da Vida,1,42,Masculino,2,Técnico de Laboratório,Divorciado(a),11350.0,5.0,Y,13,8,0,13.0,2,4,1,2
41,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,29,1,Ciências da Vida,1,43,Masculino,1,Técnico de Laboratório,Solteiro(a),4758.0,1.0,Y,12,8,0,22.0,6,22,0,4
18,Nao,Viagens_Raras,Vendas,7,3,Ciências da Vida,1,44,Masculino,1,Cientista de Pesquisa,Solteiro(a),7624.0,1.0,Y,15,8,0,0.0,3,0,0,0
28,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,9,3,Médica,1,45,Masculino,1,Representante de Vendas,Solteiro(a),9296.0,0.0,Y,23,8,2,9.0,2,8,0,7
31,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,8,1,Grau Técnico,1,46,Masculino,1,Diretor de Manufatura,Casado(a),5872.0,4.0,Y,12,8,1,10.0,2,8,7,7
39,Nao,Viagens_Raras,Vendas,5,4,Marketing,1,47,Feminino,2,Recursos Humanos,Divorciado(a),4210.0,0.0,Y,20,8,0,19.0,3,18,3,7
36,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,5,4,Ciências da Vida,1,48,Masculino,1,Executivo de Vendas,Casado(a),17156.0,7.0,Y,21,8,0,11.0,4,9,0,8
32,Nao,Viagens_Raras,Vendas,2,3,Marketing,1,49,Masculino,2,Técnico de Laboratório,Casado(a),5412.0,1.0,Y,21,8,1,13.0,4,13,4,8
38,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,5,2,Ciências da Vida,1,50,Feminino,3,Cientista de Pesquisa,Casado(a),12768.0,3.0,Y,19,8,2,19.0,4,10,0,1
58,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,2,3,Ciências da Vida,1,51,Masculino,2,Diretor de Manufatura,Divorciado(a),7936.0,2.0,Y,13,8,2,12.0,3,5,1,2
31,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,20,1,Grau Técnico,1,52,Feminino,3,Cientista de Pesquisa,Casado(a),19814.0,0.0,Y,13,8,1,6.0,3,5,0,3
31,Nao,Viagens_Raras,Vendas,7,4,Marketing,1,53,Masculino,2,Executivo de Vendas,Casado(a),26450.0,3.0,Y,21,8,1,9.0,2,2,1,0
45,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,3,1,Médica,1,54,Feminino,1,Executivo de Vendas,Divorciado(a),7080.0,1.0,Y,13,8,0,24.0,6,24,9,11
31,Nao,Viagens_Raras,Vendas,16,4,Marketing,1,55,Feminino,2,Cientista de Pesquisa,Divorciado(a),5608.0,0.0,Y,19,8,2,3.0,0,2,2,2
33,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,9,3,Ciências da Vida,1,56,Masculino,4,Diretor de Pesquisa,Casado(a),38784.0,6.0,Y,12,8,1,12.0,3,10,8,8
39,Nao,Viagens_Raras,Vendas,1,4,Ciências da Vida,1,57,Masculino,1,Executivo de Vendas,Casado(a),39330.0,1.0,Y,22,8,1,21.0,6,21,11,10
43,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,7,4,Médica,1,58,Masculino,4,Cientista de Pesquisa,Solteiro(a),4878.0,0.0,Y,15,8,0,9.0,2,8,1,7
49,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,59,Masculino,3,Diretor de Manufatura,Solteiro(a),14628.0,7.0,Y,22,8,0,25.0,2,7,0,7
52,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,7,1,Ciências da Vida,1,60,Feminino,2,Cientista de Pesquisa,Casado(a),9548.0,2.0,Y,18,8,1,11.0,2,8,7,7
27,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,15,4,Médica,1,61,Masculino,3,Cientista de Pesquisa,Solteiro(a),7804.0,1.0,Y,22,8,0,4.0,2,4,1,2
32,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,62,Masculino,3,Cientista de Pesquisa,Casado(a),5324.0,1.0,Y,11,8,1,13.0,6,13,11,9
27,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,13,2,Médica,1,63,Feminino,4,Diretor de Pesquisa,Solteiro(a),5712.0,1.0,Y,12,8,2,5.0,5,5,0,4
31,Nao,Viagens_Raras,Vendas,24,3,Ciências da Vida,1,64,Masculino,2,Representante de Saúde,Divorciado(a),2162.0,4.0,Y,11,8,3,13.0,4,7,1,7
32,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,7,3,Grau Técnico,1,65,Masculino,2,Representante de Saúde,Solteiro(a),4944.0,7.0,Y,13,8,0,10.0,2,7,0,7
28,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,9,4,Médica,1,66,Masculino,1,Executivo de Vendas,Casado(a),11346.0,5.0,Y,14,8,1,5.0,4,3,2,2
30,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,13,3,Ciências da Vida,1,67,Feminino,4,Diretor de Pesquisa,Casado(a),8394.0,1.0,Y,13,8,0,11.0,3,10,1,9
31,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,2,1,Ciências da Vida,1,68,Feminino,1,Gerente,Casado(a),19426.0,1.0,Y,17,8,0,10.0,5,10,8,9
39,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,19,4,Médica,1,69,Feminino,1,Cientista de Pesquisa,Casado(a),4124.0,1.0,Y,13,8,0,21.0,4,21,13,3
39,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,1,Médica,1,70,Feminino,1,Técnico de Laboratório,Casado(a),8568.0,4.0,Y,17,8,1,12.0,0,1,0,0
33,Nao,Viagens_Frequentes,Vendas,4,2,Ciências da Vida,1,71,Masculino,4,Cientista de Pesquisa,Solteiro(a),9576.0,3.0,Y,11,8,1,9.0,0,7,0,1
47,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,4,3,Ciências da Vida,1,72,Feminino,2,Representante de Saúde,Casado(a),11812.0,4.0,Y,23,8,0,21.0,4,3,1,1
43,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,14,3,Médica,1,73,Feminino,5,Diretor de Pesquisa,Divorciado(a),7772.0,1.0,Y,17,8,2,9.0,2,9,0,0
27,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,2,3,Ciências da Vida,1,74,Masculino,1,Diretor de Pesquisa,Casado(a),33646.0,0.0,Y,17,8,0,6.0,3,5,1,4
54,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,1,4,Ciências da Vida,1,75,Masculino,2,Cientista de Pesquisa,Solteiro(a),5866.0,3.0,Y,12,8,2,20.0,2,4,0,3
43,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,7,2,Ciências da Vida,1,76,Feminino,2,Gerente,Casado(a),13000.0,8.0,Y,23,8,0,10.0,3,1,0,0
45,Nao,Viagens_Raras,Vendas,3,1,Marketing,1,77,Feminino,1,Executivo de Vendas,Casado(a),34348.0,9.0,Y,14,8,1,12.0,6,10,9,8
40,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,2,4,Outro,1,78,Masculino,4,Cientista de Pesquisa,Casado(a),10066.0,2.0,Y,14,8,2,6.0,6,4,0,2
29,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,29,3,Médica,1,79,Feminino,1,Cientista de Pesquisa,Casado(a),4614.0,1.0,Y,13,8,1,7.0,0,7,0,7
29,Nao,Viagens_Raras,Recursos_Humanos,8,3,Médica,1,80,Masculino,3,Representante de Vendas,Solteiro(a),5174.0,0.0,Y,22,8,2,4.0,3,3,2,2
30,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,10,3,Ciências da Vida,1,81,Masculino,2,Cientista de Pesquisa,Divorciado(a),11014.0,1.0,Y,12,8,2,10.0,2,10,1,2
27,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,11,2,Médica,1,82,Masculino,1,Gerente,Casado(a),8786.0,1.0,Y,18,8,1,8.0,2,8,0,7
37,Nao,Viagens_Raras,Vendas,1,4,Ciências da Vida,1,83,Masculino,2,Representante de Saúde,Divorciado(a),26696.0,7.0,Y,14,8,0,8.0,4,6,0,4
38,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,28,4,Médica,1,84,Masculino,1,Técnico de Laboratório,Divorciado(a),13166.0,0.0,Y,12,8,0,12.0,1,11,2,9
31,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,6,3,Médica,1,85,Feminino,3,Gerente,Solteiro(a),16206.0,1.0,Y,15,8,1,11.0,5,11,4,10
29,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,3,4,Ciências da Vida,1,86,Masculino,3,Executivo de Vendas,Divorciado(a),7956.0,1.0,Y,11,8,0,7.0,0,7,1,7
35,Nao,Viagens_Raras,Vendas,16,2,Grau Técnico,1,87,Masculino,3,Gerente,Solteiro(a),5088.0,0.0,Y,13,8,1,17.0,3,16,0,13
23,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,20,4,Ciências da Vida,1,88,Masculino,1,Diretor de Manufatura,Divorciado(a),10798.0,1.0,Y,23,8,0,4.0,2,4,0,2
41,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,9,2,Ciências da Vida,1,89,Feminino,1,Técnico de Laboratório,Solteiro(a),10974.0,6.0,Y,19,8,2,8.0,0,5,1,2
47,Nao,Viagens_Frequentes,Vendas,1,3,Médica,1,90,Feminino,2,Técnico de Laboratório,Solteiro(a),13668.0,3.0,Y,16,8,1,5.0,2,0,0,0
42,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,3,4,Ciências da Vida,1,91,Masculino,1,Gerente,Solteiro(a),2182.0,2.0,Y,22,8,0,16.0,0,1,0,0
29,Nao,Nao_Viaja,Vendas,22,4,Marketing,1,92,Masculino,2,Recursos Humanos,Casado(a),11472.0,1.0,Y,22,8,0,4.0,1,4,0,2
42,Nao,Viagens_Raras,Vendas,7,4,Médica,1,93,Masculino,3,Cientista de Pesquisa,Divorciado(a),4452.0,0.0,Y,12,8,1,4.0,3,3,1,0
32,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,2,3,Médica,1,94,Masculino,2,Cientista de Pesquisa,Casado(a),11494.0,1.0,Y,13,8,0,8.0,0,8,0,7
48,Nao,Viagens_Raras,Vendas,13,4,Médica,1,95,Masculino,4,Executivo de Vendas,Casado(a),19708.0,3.0,Y,16,8,1,15.0,2,0,0,0
37,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,8,5,Grau Técnico,1,96,Masculino,2,Diretor de Manufatura,Divorciado(a),10934.0,4.0,Y,12,8,0,13.0,2,7,6,7
30,Nao,Nao_Viaja,Vendas,25,4,Outro,1,97,Masculino,1,Representante de Saúde,Casado(a),10760.0,7.0,Y,21,8,1,4.0,0,2,2,2
26,Nao,Viagens_Raras,Vendas,28,3,Médica,1,98,Feminino,5,Técnico de Laboratório,Casado(a),10302.0,1.0,Y,15,8,3,8.0,3,8,7,7
42,Nao,Viagens_Raras,Vendas,2,2,Médica,1,99,Feminino,1,Técnico de Laboratório,Solteiro(a),4266.0,3.0,Y,13,8,2,14.0,2,1,0,0
21,Sim,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,9,3,Médica,1,100,Feminino,4,Diretor de Manufatura,Solteiro(a),35750.0,1.0,Y,12,8,0,3.0,5,3,1,2
36,Nao,Nao_Viaja,Recursos_Humanos,28,3,Recursos Humanos,1,101,Masculino,2,Técnico de Laboratório,Solteiro(a),4864.0,4.0,Y,22,8,0,7.0,4,1,0,0
36,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,6,3,Ciências da Vida,1,102,Feminino,2,Cientista de Pesquisa,Casado(a),9542.0,4.0,Y,13,8,1,16.0,2,13,1,12
57,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,21,4,Ciências da Vida,1,103,Masculino,5,Cientista de Pesquisa,Casado(a),38322.0,2.0,Y,18,8,0,15.0,2,3,1,2
40,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,8,3,Outro,1,104,Masculino,2,Executivo de Vendas,Casado(a),10174.0,3.0,Y,14,8,1,10.0,3,7,1,7
21,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,1,5,Ciências da Vida,1,105,Feminino,2,Gerente,Solteiro(a),5726.0,1.0,Y,14,8,0,3.0,2,3,2,2
33,Sim,Viagens_Raras,Recursos_Humanos,28,2,Recursos Humanos,1,106,Feminino,5,Gerente,Solteiro(a),11122.0,1.0,Y,21,8,1,1.0,3,1,0,0
37,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,5,3,Ciências da Vida,1,107,Masculino,4,Cientista de Pesquisa,Casado(a),4288.0,6.0,Y,19,8,0,17.0,3,5,0,3
46,Nao,Nao_Viaja,Vendas,2,4,Marketing,1,108,Feminino,2,Técnico de Laboratório,Casado(a),6130.0,2.0,Y,11,8,0,7.0,3,1,0,0
41,Sim,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,16,1,Médica,1,109,Feminino,1,Cientista de Pesquisa,Solteiro(a),5620.0,1.0,Y,11,8,0,8.0,3,8,7,7
50,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,9,3,Médica,1,110,Feminino,3,Técnico de Laboratório,Solteiro(a),19776.0,6.0,Y,15,8,0,20.0,2,4,1,3
40,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,8,3,Médica,1,111,Feminino,1,Representante de Saúde,Casado(a),17256.0,2.0,Y,20,8,0,8.0,2,6,1,0
31,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,112,Masculino,4,Recursos Humanos,Solteiro(a),5734.0,0.0,Y,24,8,0,3.0,5,2,2,2
21,Sim,Viagens_Raras,Recursos_Humanos,10,2,Recursos Humanos,1,113,Masculino,1,Técnico de Laboratório,Solteiro(a),10746.0,1.0,Y,12,8,1,1.0,2,1,0,0
29,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,114,Feminino,2,Diretor de Pesquisa,Solteiro(a),13334.0,9.0,Y,12,8,1,6.0,6,3,1,2
35,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,29,3,Ciências da Vida,1,115,Feminino,3,Executivo de Vendas,Solteiro(a),10006.0,9.0,Y,15,8,0,10.0,2,1,0,0
27,Nao,Viagens_Raras,Vendas,2,3,Ciências da Vida,1,116,Masculino,1,Executivo de Vendas,Divorciado(a),4734.0,,Y,12,8,1,5.0,2,5,0,4
28,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,2,2,Médica,1,117,Masculino,3,Gerente,Solteiro(a),5716.0,1.0,Y,12,8,0,7.0,2,7,0,7
49,Nao,Viagens_Raras,Vendas,2,3,Grau Técnico,1,118,Masculino,2,Diretor de Manufatura,Solteiro(a),10408.0,8.0,Y,14,8,1,26.0,3,5,0,0
51,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,2,Ciências da Vida,1,119,Masculino,1,Executivo de Vendas,Casado(a),8210.0,4.0,Y,22,8,1,18.0,2,7,0,7
36,Nao,Viagens_Raras,Vendas,15,2,Ciências da Vida,1,120,Masculino,1,Executivo de Vendas,Casado(a),19358.0,4.0,Y,12,8,0,6.0,1,2,2,2
34,Sim,Nao_Viaja,Pesquisa_e_Desenvolvimento,7,3,Ciências da Vida,1,121,Masculino,1,Representante de Vendas,Solteiro(a),11234.0,8.0,Y,25,8,1,9.0,3,5,0,4
55,Nao,Viagens_Raras,Vendas,26,3,Marketing,1,122,Masculino,1,Técnico de Laboratório,Solteiro(a),20896.0,2.0,Y,13,8,0,30.0,3,5,1,2
24,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,123,Feminino,5,Gerente,Divorciado(a),5794.0,1.0,Y,18,8,3,5.0,4,5,0,3
30,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,3,3,Ciências da Vida,1,124,Feminino,2,Gerente,Casado(a),11936.0,1.0,Y,13,8,0,1.0,3,1,0,0
26,Sim,Viagens_Frequentes,Vendas,14,3,Ciências da Vida,1,125,Masculino,2,Gerente,Solteiro(a),15020.0,0.0,Y,18,8,3,7.0,3,6,0,4
22,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,16,5,Outro,1,126,Masculino,1,Cientista de Pesquisa,Casado(a),5982.0,1.0,Y,19,8,2,2.0,3,2,1,2
36,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Médica,1,127,Feminino,5,Representante de Saúde,Casado(a),39272.0,1.0,Y,12,8,1,10.0,3,10,9,0
30,Sim,Viagens_Frequentes,Vendas,3,2,Marketing,1,128,Masculino,3,Cientista de Pesquisa,Solteiro(a),2258.0,9.0,Y,19,8,0,3.0,2,1,0,0
37,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,10,1,Grau Técnico,1,129,Masculino,1,Executivo de Vendas,Divorciado(a),26682.0,1.0,Y,14,8,1,18.0,3,18,12,17
40,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,6,2,Médica,1,130,Masculino,3,Cientista de Pesquisa,Divorciado(a),8664.0,7.0,Y,14,8,2,8.0,3,5,1,3
42,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,2,3,Médica,1,131,Feminino,4,Gerente,Divorciado(a),22062.0,3.0,Y,12,8,1,8.0,2,5,1,2
37,Nao,Viagens_Raras,Vendas,9,1,Marketing,1,132,Masculino,3,Executivo de Vendas,Solteiro(a),8880.0,2.0,Y,11,8,1,18.0,3,1,0,1
43,Nao,Viagens_Raras,Vendas,10,2,Ciências da Vida,1,133,Feminino,1,Executivo de Vendas,Divorciado(a),9234.0,1.0,Y,11,8,0,25.0,2,25,3,9
40,Nao,Viagens_Raras,Vendas,6,2,Ciências da Vida,1,134,Feminino,1,Técnico de Laboratório,Casado(a),5294.0,6.0,Y,13,8,0,20.0,2,1,0,0
54,Nao,Viagens_Raras,Recursos_Humanos,9,3,Ciências da Vida,1,135,Feminino,2,Diretor de Manufatura,Casado(a),12646.0,4.0,Y,23,8,1,24.0,2,4,1,2
34,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,28,3,Médica,1,136,Masculino,1,Técnico de Laboratório,Casado(a),11354.0,9.0,Y,20,8,1,6.0,3,3,1,2
31,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,10,4,Ciências da Vida,1,137,Masculino,3,Executivo de Vendas,Casado(a),4374.0,1.0,Y,15,8,1,13.0,2,13,3,12
